Date,Frankfurt_CDD,Madrid_CDD,Helsinki_CDD,Gas_Price_EUR,Carbon_Price,Frankfurt_CO2_Intensity,Madrid_CO2_Intensity,Helsinki_CO2_Intensity,Frankfurt_Power_Price_EUR,Madrid_Power_Price_EUR,Helsinki_Power_Price_EUR,Frankfurt_Grid_Stress
2019-01-01,0.0,0.0,0.0,3.100333338692075,14.057076454162598,443.2,284.68,281.63,28.00584698495411,10.04997267019181,32.68527321838197,5.767289605594816
2019-02-01,0.0,0.0,0.0,2.6825789401405737,14.057076454162598,448.7,268.44,242.86,27.086787308140806,9.33979019265426,32.142192500265026,5.558412406319066
2019-03-01,0.0,5.300000000000001,0.0,2.8046666781107583,14.057076454162598,342.2,191.1,214.4,12.355380331675212,9.547339347203572,7.300906559626261,5.619456275304158
2019-04-01,14.0,13.700000000000003,0.0,2.603095213572184,14.057076454162598,407.01,207.51,173.76,11.911923109690349,9.204667857487996,7.038863655726115,8.318670543034871
2019-05-01,7.800000000000001,117.60000000000001,0.0,2.592409068887884,14.057076454162598,414.45,213.18,150.58,11.888413591384888,5.0,7.024971667636524,7.073327470692721
2019-06-01,193.7,242.3,1.6000000000000014,2.3303499937057497,14.057076454162598,376.26,243.24,107.53,11.311883625984194,5.0,6.684294869899751,44.122297933101656
2019-07-01,169.5,378.2,28.3,2.303090897473422,14.057076454162598,406.17,271.06,115.39,11.251913614273073,5.0,6.648858044797724,39.26866838498549
2019-08-01,139.1,318.6,0.0,2.174272721463984,14.057076454162598,408.11,268.3,121.78,10.968513627052307,5.0,6.481394415985454,33.12425929698077
2019-09-01,19.2,140.5,0.0,2.5195500016212464,14.057076454162598,382.93,245.16,176.73,11.728123643398286,9.062640997171401,6.930254880189896,9.316897937059402
2019-10-01,3.0,66.6,0.0,2.3392608580381973,14.057076454162598,393.64,268.42,202.82,11.331487527515579,8.75614945308022,6.695878993531933,5.986753365267877
2019-11-01,0.0,0.0,0.0,2.6314499974250793,14.057076454162598,467.61,200.0,209.81,26.974303634166716,9.252870990037918,7.075724874734878,5.532847934961318
2019-12-01,0.0,0.0,0.0,2.2882381053197953,14.057076454162598,368.38,167.85,190.33,26.219237471535095,8.669410773458935,6.629549414998009,5.361241988908676
2020-01-01,0.0,0.0,0.0,2.029952355793544,14.057076454162598,387.18,201.38,167.68,25.65100882257734,8.230324999264308,31.293777940613882,5.232099114145551
2020-02-01,0.0,0.0,0.0,1.8434210451025712,14.057076454162598,289.99,192.13,174.76,25.2406399390572,7.913221771089654,31.051287236715616,5.138833458800065
